Date,PC,Laufzeit_in_s
2020-12-13 01:16:17 AM,DOUG,2.16
2020-12-13 01:16:41 AM,DOUG,2.02
2020-12-13 01:17:12 AM,DOUG,3.18
2020-12-13 01:19:25 AM,DOUG,2.92
2020-12-13 07:54:51 PM,DOUG,3.01
2020-12-15 08:47:42 PM,DOUG,5.84
2020-12-15 08:55:38 PM,DOUG,5.8
2020-12-16 08:35:40 PM,DOUG,2.42
2020-12-16 08:43:25 PM,DOUG,3.71
2020-12-16 09:50:32 PM,DOUG,4.8
2020-12-16 10:42:36 PM,DOUG,3.49
2020-12-16 10:42:57 PM,DOUG,3.32
2020-12-16 11:15:54 PM,DOUG,4.14
2020-12-17 12:41:35 AM,DOUG,4.43
2020-12-17 12:43:18 AM,DOUG,4.44
