Datum;Erstimpfung;Zweitimpfung
27.12.2020;23307;0
28.12.2020;17737;0
29.12.2020;49046;0
30.12.2020;61632;0
31.12.2020;50005;0
01.01.2021;25730;0
02.01.2021;47354;0
03.01.2021;22174;0
04.01.2021;46520;0
05.01.2021;51823;0
06.01.2021;62166;0
07.01.2021;54137;0
08.01.2021;61490;0
09.01.2021;59447;0
10.01.2021;34650;0
11.01.2021;67074;0
12.01.2021;80689;0
13.01.2021;111422;0
14.01.2021;81855;0
15.01.2021;89222;802
16.01.2021;56037;1018
17.01.2021;30541;17789
18.01.2021;66218;15859
19.01.2021;82441;36005
20.01.2021;77875;54236
21.01.2021;64192;41924
22.01.2021;68184;34654
23.01.2021;40707;45908
24.01.2021;25735;21995
25.01.2021;51978;39205
26.01.2021;50354;47121
27.01.2021;50718;57934
28.01.2021;45087;45419
29.01.2021;51312;57318
30.01.2021;34496;53858
31.01.2021;25803;31364
01.02.2021;57843;61690
02.02.2021;64400;66267
03.02.2021;63334;95802
04.02.2021;59995;70422
05.02.2021;67820;76525
06.02.2021;47032;53406
07.02.2021;28121;25270
08.02.2021;53178;56080
09.02.2021;60220;73428
10.02.2021;76918;76551
11.02.2021;73988;67430
12.02.2021;78477;76729
13.02.2021;61625;45541
14.02.2021;39703;25684
15.02.2021;68881;55628
16.02.2021;82011;55802
17.02.2021;93641;56438
18.02.2021;90230;51469
19.02.2021;100243;54254
20.02.2021;75939;35907
21.02.2021;57267;28568
22.02.2021;98753;59675
23.02.2021;106855;59573
24.02.2021;114926;58619
25.02.2021;130376;57937
26.02.2021;143197;65470
27.02.2021;107362;39948
28.02.2021;82974;24123
01.03.2021;146265;49491
02.03.2021;161332;51619
03.03.2021;173450;69643
04.03.2021;180181;62317
05.03.2021;202830;67780
06.03.2021;153073;48589
07.03.2021;116442;33997
08.03.2021;185587;51523
09.03.2021;195762;54488
10.03.2021;218828;66061
11.03.2021;221172;60566
12.03.2021;253940;70772
13.03.2021;198109;49662
14.03.2021;135110;35925
15.03.2021;187869;58895
16.03.2021;110196;67263
17.03.2021;124223;79864
18.03.2021;117726;74846
19.03.2021;160334;83096
20.03.2021;167025;53267
21.03.2021;127281;38641
22.03.2021;191881;76091
23.03.2021;215788;82971
24.03.2021;246523;88010
25.03.2021;258530;79845
26.03.2021;288989;88753
27.03.2021;224677;62392
28.03.2021;144438;52896
29.03.2021;221027;89303
30.03.2021;236989;94011
31.03.2021;236278;103273
01.04.2021;234926;93350
02.04.2021;157019;69689
03.04.2021;166983;65774
04.04.2021;142912;53579
05.04.2021;175696;72619
06.04.2021;277104;96241
07.04.2021;582343;96843
08.04.2021;643378;89554
09.04.2021;539330;88607
10.04.2021;305810;65077
11.04.2021;212439;50041
12.04.2021;340525;76765
13.04.2021;498905;73362
14.04.2021;691002;83028
15.04.2021;608448;70723
16.04.2021;520904;74844
17.04.2021;307711;56415
18.04.2021;229114;38855
19.04.2021;340682;60828
20.04.2021;496122;61941
21.04.2021;647128;72625
22.04.2021;570068;66906
23.04.2021;483001;67387
24.04.2021;307876;58976
25.04.2021;234352;47961
26.04.2021;358819;73557
27.04.2021;693353;90214
28.04.2021;995384;126682
29.04.2021;812973;132265
30.04.2021;666082;136842
01.05.2021;262583;73076
02.05.2021;198707;64544
03.05.2021;336485;115506
04.05.2021;683214;158495
05.05.2021;915555;225733
06.05.2021;767850;214852
07.05.2021;650001;230453
08.05.2021;271776;153176
09.05.2021;183001;102059
10.05.2021;396137;190006
11.05.2021;797943;282505
12.05.2021;1049719;358661
13.05.2021;268323;158654
14.05.2021;530156;221971
15.05.2021;236039;160724
16.05.2021;163194;117464
17.05.2021;356743;196076
18.05.2021;525225;350648
19.05.2021;574666;525711
20.05.2021;461867;480136
21.05.2021;412778;431137
22.05.2021;229301;246153
23.05.2021;134235;151771
24.05.2021;147247;175654
25.05.2021;294904;357320
26.05.2021;542389;628319
27.05.2021;481778;549729
28.05.2021;434692;455815
29.05.2021;181719;228627
30.05.2021;108767;173755
31.05.2021;216803;320429
01.06.2021;479986;496079
02.06.2021;617212;616910
03.06.2021;279804;352878
04.06.2021;369057;448527
05.06.2021;125362;281187
06.06.2021;76135;213867
07.06.2021;242806;356265
08.06.2021;384780;637225
09.06.2021;507235;838865
10.06.2021;458009;692575
11.06.2021;426073;594885
12.06.2021;150233;273389
13.06.2021;77290;202560
14.06.2021;250840;379008
15.06.2021;371997;631711
16.06.2021;500989;826465
17.06.2021;421493;656505
18.06.2021;365291;538940
