Datum,Bundesland,Impfungen kumulativ,Differenz zum Vortag,Impfquote [%]
04.01.2021,Mecklenburg-Vorpommern,11494.0,0.0,0.3573698277137907
04.01.2021,Sachsen-Anhalt,12822.0,1051.0,0.29210190351479104
04.01.2021,Hessen,30085.0,5294.0,0.2392224653630361
04.01.2021,Bayern,57833.0,11742.0,0.22032060528146205
04.01.2021,Saarland,4149.0,833.0,0.21020643700849234
04.01.2021,Berlin,14616.0,1443.0,0.19915568671513295
04.01.2021,Schleswig-Holstein,8933.0,969.0,0.15381712000214892
04.01.2021,Nordrhein-Westfalen,48691.0,13142.0,0.13565052773351374
04.01.2021,Bremen,1837.0,96.0,0.13483518838758546
04.01.2021,Baden-Württemberg,24063.0,4014.0,0.10838804460454286
04.01.2021,Hamburg,3704.0,662.0,0.10025697616947976
04.01.2021,Rheinland-Pfalz,7248.0,59.0,0.0885218824188067
04.01.2021,Brandenburg,3219.0,0.0,0.06382110581218156
04.01.2021,Sachsen,4343.0,343.0,0.05332798293504546
04.01.2021,Niedersachsen,4962.0,1017.0,0.031037298801742587
04.01.2021,Thüringen,810.0,0.0,0.018983977522970614
