Kalenderwoche,Anzahl Testungen,Positiv getestet,Positivenquote
KW 11/2020,129291,7502,5.8
KW 12/2020,374534,25886,6.9
KW 13/2020,377599,33139,8.8
KW 14/2020,417646,37649,9.0
KW 15/2020,386241,30829,8.0
KW 16/2020,339983,22724,6.7
KW 17/2020,363659,18127,5.0
KW 18/2020,327799,12600,3.8
KW 19/2020,385638,10181,2.6
KW 20/2020,431682,7142,1.7
KW 21/2020,356489,5315,1.5
KW 22/2020,408078,4335,1.1
KW 23/2020,342328,3219,0.9
KW 24/2020,327980,2956,0.9
KW 25/2020,384834,5588,1.5
KW 26/2020,472823,3919,0.8
KW 27/2020,512969,3204,0.6
KW 28/2020,513572,3042,0.6
KW 29/2020,544219,3608,0.7
KW 30/2020,556634,4537,0.8
KW 31/2020,589201,5888,1.0
KW 32/2020,719476,7374,1.0
KW 33/2020,871191,8545,1.0
KW 34/2020,1034449,8868,0.9
KW 35/2020,1133623,8273,0.7
KW 36/2020,1052942,8203,0.8
KW 37/2020,1148465,10403,0.9
KW 38/2020,1147879,13647,1.2
KW 39/2020,1220279,15178,1.2
KW 40/2020,1129127,19930,1.8
KW 41/2020,1218988,30220,2.5
KW 42/2020,1284349,46000,3.6
KW 43/2020,1445463,80097,5.5
KW 44/2020,1663992,118111,7.1
KW 45/2020,1634729,128537,7.9
KW 46/2020,1467454,128986,8.8
KW 47/2020,1400145,131185,9.4
KW 48/2020,1381117,128882,9.3
KW 49/2020,1395790,138305,9.9
KW 50/2020,1516038,169520,11.2
KW 51/2020,1672033,188283,11.3
KW 52/2020,1090372,141413,13.0
KW 53/2020,845729,129930,15.4
KW 1/2021,1231405,157772,12.8
KW 2/2021,1187564,124037,10.4
KW 3/2021,1113690,110163,9.9
KW 4/2021,1151633,97383,8.5
KW 5/2021,1101499,82436,7.5
KW 6/2021,1060602,67882,6.4
KW 7/2021,1103231,67379,6.1
KW 8/2021,1171798,72059,6.1
KW 9/2021,1153270,71715,6.2
KW 10/2021,1280050,85655,6.7
KW 11/2021,1367247,107827,7.9
KW 12/2021,1416888,131911,9.3
KW 13/2021,1178378,128814,10.9
KW 14/2021,1169510,140935,12.1
KW 15/2021,1312602,163464,12.5
KW 16/2021,1427668,177251,12.4
KW 17/2021,1360960,152086,11.2
KW 18/2021,1255724,128709,10.2
KW 19/2021,1100259,90312,8.2
KW 20/2021,1218879,70279,5.8
KW 21/2021,944376,39105,4.1
KW 22/2021,874665,27259,3.1
KW 23/2021,822977,19018,2.3
